gene	t
CTA-384D8.34	26.78759320432808
AL133493.2	26.773820721729603
STK17B	26.765807964002732
FCN1	26.76185172968867
IRAK2	26.75714587773371
ATP8A1	26.737344687837595
PCDHAC1	26.72364467228975
BCO1	26.72120093885554
ALS2CL	26.72038528498463
PF4	26.71512671334283
AGRP	26.704289353792028
GSTA1	26.70308358172468
GDF15	26.689737538413986
CTB-134H23.3	26.67312949386434
RP11-44F21.5	26.66170906374169
MUC13	26.661151990364093
RP11-284N8.3	26.65528081100411
PLD3	26.654250857040672
GALE	26.650846463364154
LILRA5	26.646321362869582
UNC13D	26.639750749846378
S100A10	26.62774972195223
AADAC	26.627449308057315
HNF1A-AS1	26.61534934060899
SFN	26.58282141206811
CES1	26.580506217254047
TMEM133	26.56917131847941
TCN2	26.5686268428177
NACA2	26.561076291681808
TMC8	26.55976951517679
CCL23	26.539736743923484
PLLP	26.53258807218844
RP11-109J4.1	26.500894747233158
PRDX5	26.48527446996013
BAIAP2L1	26.478414920705458
LBH	26.47692138829596
LINC01589	26.470270047912095
PTP4A1	26.465185268454274
GPC5	26.446563723892805
NOTUM	26.445994067987435
SKAP2	26.423581954213088
SPRY2	26.416077902484002
ANKRD66	26.411569059227894
LGMN	26.41147352579978
NCF2	26.405280154375316
CTB-43E15.2	26.389895005136363
HSPB3	26.384516839106904
CSF3	26.37600313218191
TMEM150B	26.370973984522582
SFTPD-AS1	26.35819466447585
HAS3	26.354111555398696
HMHA1	26.353772797990825
LINC01579	26.349108383952416
GRN	26.343891781598582
C4BPB	26.328021867837943
CXCL16	26.32616032742514
RPL4P4	26.297755670696535
RP1-37N7.1	26.292447638783553
FCRL2	26.280995029015926
SERPINF2	26.27758446616113
IL4R	26.248149627463054
MLK4	26.225639053849747
FAM96B	26.213792959011407
EML4	26.20822092669614
GLIS3	26.20693958839684
ETV5	26.194756751035996
ALAS1	26.184401782378067
CTD-2308L22.1	26.182030166011103
FXYD4	26.178984810067746
P2RX1	26.165604759751584
C20ORF85	26.16114921769381
EGFR	26.14663804437194
LIPH	26.142721591183555
CLIC2	26.129896054472475
PLD5	26.126166079354928
LEMD1	26.125340490674454
GK	26.111555927676633
VEGFA	26.108882304715422
PACERR	26.108135224240275
SGPP1	26.105566431404963
DMRTA1	26.08382898945323
RP11-280O1.2	26.080418694113934
ZDHHC9	26.067915169209655
ESRRA	26.0644641310275
MAFK	26.055676313052942
IP6K3	26.04773272827278
ARSE	26.04659323725243
MMP15	26.045495980741386
CATSPER1	26.043064891053515
STXBP1	26.014247385701022
RP3-407E4.3	26.013479163739873
RP11-464D20.2	25.985641318252064
ZNF319	25.98220681299802
CTD-2555C10.3	25.962379386157107
RP11-875O11.3	25.950308370058742
IL37	25.94807554946688
AOC1	25.942790651310823
TGFA	25.94100973277149
RP11-677M14.3	25.931109353559112
RP11-720N19.1	25.913840591193257
LGI3	25.90994676586182
RP11-141O11.2	25.909795156941033
LINC00982	25.89092581059846
LINC00482	25.880817949450943
DUSP6	25.858039503147072
KCNQ1	25.856467600947905
PLG	25.839977547062965
MID1IP1	25.838142951310044
PKNOX2	25.82987439035234
CHST12	25.821351365957216
ODC1	25.806130076583212
DNAH2	25.805843958238142
MUC5AC	25.794217129112397
IL10RB	25.79270322591335
RPH3AL	25.783746751502754
FAM181A	25.780370866211474
RP11-85G21.3	25.773696603000094
NCF4	25.767648289810484
ATP13A4	25.747876086906484
FUCA1	25.744367495593142
KCNQ3	25.735579478810212
AMICA1	25.724048084515463
GZMB	25.72259039670262
CFLAR	25.721445771007613
LDHB	25.711204628122946
RP11-396F22.1	25.71036499207206
EPAS1	25.707504070146506
IL5RA	25.68503874686876
DHRS9	25.681354921487525
CCNYL1	25.675862915093813
LINC01564	25.671331715370048
RP11-88E10.5	25.65602842380211
AMY1A	25.653679350440488
CCDC33	25.64807114161151
KCNA3	25.641853041396484
CPNE4	25.63162190576086
DRD5	25.62706261741574
FGL1	25.62168697356508
ATP1B1	25.616357883493265
RP1-186E20.1	25.588570658350992
SBK3	25.574979908872198
CLCF1	25.550586114736223
C19ORF33	25.546199151881293
RP11-359M6.1	25.541544132090205
TXNDC11	25.53293200075487
GALT	25.520124478798493
PPTC7	25.493269155787612
TUBA4A	25.483631958477364
DOK2	25.481208808813218
RRAS2	25.47990585127165
SDPR	25.443933740310154
RP11-1260E13.3	25.42421363380371
SSTR1	25.423430902622925
CTD-3214H19.16	25.418322764865014
SPTB	25.41504474287617
PTBP1P	25.411978100042475
CHIT1	25.409891680863858
SLC36A4	25.403977515957997
GCA	25.40319313935263
RPS6KA1	25.38667509432566
CCL21	25.385672226726538
TOX2	25.383805699056595
SLC47A1	25.380414562130703
PRF1	25.37838182220654
PRODH	25.365057807191807
KNDC1	25.337798679516855
RP5-1033H22.2	25.328904045924794
CXCL6	25.31485507463791
TLDC2	25.311023507418145
CBR1	25.30647871569692
RP4-610C12.3	25.30455280614902
LYZ	25.29438127297972
ATP8B5P	25.29355439299508
RP11-281P23.1	25.282826322485157
ANKUB1	25.27371987723933
VNN3	25.2721844122804
HAGLR	25.267061308267106
AC105053.3	25.262895478433762
RBPMS-AS1	25.25902598441301
HOXD1	25.250076979063685
ADCY7	25.248238158718962
RP11-93K22.13	25.230458954114837
SPACA4	25.2216108712721
CD7	25.19910829152576
RPS2P32	25.193294137288298
IL1R2	25.191508245908697
C6ORF222	25.189043702547014
TBX2	25.18867375486518
RP5-875O13.1	25.186289998737113
NUAK2	25.184899832268115
TCIRG1	25.183809026441647
RP11-1029J19.4	25.153245928367074
RPL7AP30	25.125280871780355
MYBPC2	25.10276594114652
RP11-462G12.1	25.0923561758151
FAM81B	25.074764535619167
CCDC88B	25.05860930142644
QSOX1	25.05276025126634
RP5-1056H1.2	25.051974779012024
ADGRG6	25.05020973679395
SAPCD1-AS1	25.04867721353645
PCDH15	25.037072506315678
PPP1R14D	25.035738506511972
TMEM105	25.03425321161066
NPFFR1	25.032816538725182
RASSF7	25.03005676328816
UNC93B1	25.00463929001513
DCC	24.998091301746378
FAM162B	24.997934951434406
PIP5KL1	24.99249984982675
RP11-4O1.2	24.989986470986118
NT5C2	24.97994863372692
ABHD11-AS1	24.97605563523824
PRKCZ	24.975243244277195
EPOR	24.974994175016715
VSIG1	24.925166651234335
CTA-363E6.6	24.919090743590896
CLDN10-AS1	24.863134841122932
MROH6	24.847308924486207
BATF2	24.842079878214726
TMC5	24.838886459834008
LINC01106	24.8375892164795
GLT1D1	24.803176683906464
FMNL2	24.80016708312483
RGN	24.795329329475262
LRRK2	24.791694522932808
GPR25	24.774419904044862
S100A12	24.76561733585387
ATP13A4-AS1	24.764938802226634
CD40	24.753259717065216
GSTA2	24.7498567590225
PIM2	24.740543348220054
SCNN1B	24.73182841362863
ORM1	24.716670532359096
HLA-DMA	24.716633639578717
CLEC4D	24.71500859009545
RP11-703I16.1	24.711851920295736
FES	24.690406895834585
SCNN1A	24.68583868386208
BATF3	24.669905210898005
TMED6	24.647570419704255
FAM132B	24.638745915637706
WDR66	24.63458422118101
FA2H	24.633329290875924
IGFLR1	24.631947055398356
TSPAN19	24.620649249010537
CTC-436P18.3	24.61958789463405
FAM57A	24.597237414657265
SIPA1	24.588823426453978
CIT	24.56407896824709
ASL	24.52382014955093
MASP1	24.521558190337853
PPP1R14C	24.514409418023355
NINJ2	24.50005416433246
UPK3B	24.49789463679812
RP11-360A10.1	24.49271151234442
LINC01597	24.485059764375993
RP11-627G23.1	24.48441072898038
CLEC12A	24.478832925048426
AC009238.7	24.439298728592103
AC009237.17	24.439298728592103
TM4SF4	24.432729664127113
TBXAS1	24.4244589491215
CLIP4	24.3851086218967
AC009299.3	24.370956386706503
RP11-14I2.2	24.366321966516647
RP11-964E11.2	24.36041578466062
AADACP1	24.352848670590124
AC074286.1	24.34859139245089
HMSD	24.334143261552576
FAM118B	24.328946686202904
C9ORF24	24.32818794425132
WFDC21P	24.32344959719736
